（Ａ）乾宫八卦属金
乾为天　　 天风女后　 天山遁　　 天地否
父母戌土世 父母戌土 　父母戌土 　父母戌土应
兄弟申金　 兄弟申金 　兄弟申金应 兄弟申金
官鬼午火 　官鬼午火应 官鬼午火 　官鬼午火
父母辰土应 兄弟酉金 　兄弟申金 　妻财卯木世
妻财寅木 　子孙亥水 　官鬼午火世 官鬼巳火
子孙子水　 父母丑土世 父母辰土 　父母未土 

风地观　　 山地剥 　　火地晋 　　火天大有
妻财卯木 　妻财寅工　 官鬼巳火　 官鬼巳火应
官鬼巳火 　子孙子水世 父母未土　 父母未土
父母未土世 父母戌土　 兄弟酉金世 兄弟酉金
妻财卯木 　妻财卯木　 妻财卯木　 父母辰土世
官鬼巳火　 官鬼巳火应 官鬼巳火　 妻财寅木
父母未土应 父母未土　 父母未土应 子孙子水

（Ｂ）兑官八卦属金
兑为泽　　 泽水困　　 泽地萃　　 泽山咸
父母未土世 父母未土　 父母未土　 父母未土应
兄弟酉金 　兄弟酉金　 兄弟酉金应 兄弟酉金
子孙亥水　 子孙亥水应 子孙亥水　 子孙亥水
父母丑土应 官鬼午火　 妻财卯木　 兄弟申金世
妻财卯木 　父母辰土　 官鬼巳火世 官鬼午火
官鬼巳火　 妻财寅木世 父母未土 　父母辰土 

水山蹇　　 地山谦　　 雷山小过　 雷泽归妹
子孙子水　 兄弟酉金　 父母戌土　 父母戌土应
父母戌土　 子孙亥水世 兄弟申金　 兄弟申金
兄弟申金世 父母丑土　 官鬼午火世 官鬼午火
兄弟申金　 兄弟申金　 兄弟申金　 父母丑土世
官鬼午火　 官鬼午火应 官鬼午火　 妻财卯木
父母辰土应 父母辰土　 父母辰土应 官鬼巳火

（Ｃ）离宫八卦属火
离为火　　 火山旅　　 火风鼎　　 火水未济
兄弟巳火世 兄弟巳火 　兄弟巳火　 兄弟巳火应
子孙未土　 子孙未土　 子孙未土应 子孙未土
妻财酉金 　妻财酉金应 妻财酉金　 妻财酉金
官鬼亥水应 妻财申金　 妻财酉金 　兄弟午火世
子孙丑土　 兄弟午火　 官鬼亥水世 子孙辰土
父母卯木 　子孙辰土世 子孙丑土 　父母寅木 

山水蒙　　 风水涣　　 天水讼　　 天火同人
父母寅木　 父母卯木　 子孙戌土　 子孙戌土应
字鬼子水　 兄弟巳火世 妻财申金　 妻财申金
子孙戌土世 子孙未土 　兄弟午火世 兄弟午火
兄弟午火 　兄弟午火　 兄弟午火　 官鬼亥水世
子孙辰土 　子孙辰土应 子孙辰土　 子孙丑土
父母寅木应 父母寅木 　父母寅木应 父母卯木 

（Ｄ）震宫八卦属木
震为雷 　　雷地豫 　　雷水解　　 雷风恒
妻财戌土世 妻财戌土　 妻财戌土　 妻财戌土应
官鬼申金　 官鬼申金　 官鬼申金应 官鬼申金
子孙午火 　子孙午火应 子孙午火 　子孙午火
妻财辰土应 兄弟卯木 　子孙午火　 官鬼酉金世
兄弟寅木 　子孙子火　 妻财辰土世 父母亥水
父母子水　 妻财未土世 兄弟寅木　 妻财丑土 

地风升 　　水风井　　 泽风大过　 泽雷随
官鬼酉金　 父母子水　 妻财未土　 妻财未土应
父母亥水 　妻财戌土世 官鬼酉金 　官鬼酉金
妻财丑土世 官鬼申金　 父母亥水世 父母亥水
官鬼酉金 　官鬼酉金　 官鬼酉金 　妻财辰土世
父母亥水　 父母亥水应 父母亥水 　兄弟寅木
妻财丑土应 妻财丑土 　妻财丑土应 父母子水

（Ｅ）巽宫八卦属木
